"Timestamp","How familiar are you with the organization seeking funding?","Have you interacted with this organization in the past?","How transparent do you perceive the organization to be in its operations and financial disclosures?","How would you rate the organization's impact and effectiveness in addressing its stated mission or goals?","Have you heard positive or negative feedback about this organization from others in your community?","How trustworthy do you find this organization based on your knowledge and interactions?","Would you recommend supporting this organization to others in your network?","How would you rate the organization's communication and responsiveness?"
"2024/03/21 12:03:59 am GMT+5:30","","","","","","","",""
"2024/03/21 12:04:05 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:06 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:08 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:09 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:11 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:12 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:14 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:15 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:17 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:18 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:19 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:21 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
